text,mood
ඔව් යාළුවෙක් එක්ක රණ්ඩු වුණා,Bad
මගේම සිතුවිලි වල ගිලෙන්න,Bad
මම මගේ සඳහා නව සහ ඉතා බලවත් නව ව්යාපෘතියක් ආරම්භ කරන්න තීරණය කළා අවසානයේ මට සහනයක් ලැබෙනවාවි කියලා විශ්වාසයි,Happy
ඔව් අද වුණ නරක දේ අමතක කරන්න හිතෙනවා,Bad
අද රජයේ කාර්යාල විවෘතව තිබුණා.,Normal
මම හොඳින් නෙවෙයි,Bad
අද පාඩම් ටිකක් revise කළා.,Normal
ගෙදර ආපු පස්සේ අත්පිටින් හෝදගත්තා.,Normal
මගේ පළමු දරුවා ඇයගේ පාසලේ පැවැත්වූ මෙම වසරේ පළමු පරීක්ෂණයෙන් සම්පූර්ණ ලකුණු සියුර්ණ ලබා ගත්තා,Happy
ගෙදර අයත් එක්ක ටීවී ටිකක් බැලුවා.,Normal
මගේ සමාජ කනස්සල්ල සමාජයට නැවත ආවාීම සඳහා පුහුණු වන්න,Bad
ඔවුන් ඔබව තේරුම් ගත් බව මවාපායි,Bad
සතියක් තිස්සේ කරපු විශාල ව්යාපෘතියක් අද අවසන් කළා සතුටුයි,Happy
හිතේ අවුලක් නෑ,Normal
අද පුවත්පත් වල විශේෂ පුවතක් නෑ.,Normal
අද ක්රීඩා කාලය සාමාන්යයි.,Normal
අද වෙනසක් නෑ,Normal
මට මාව අනිත් අය එක්ක සංසන්දනය කිරීම නවත්වන්න බැහැ ඔවුන් මට වඩා ගොඩක් හොඳයි,Bad
මම උරා බොන බවට සෑම විටම සාක්ෂි සොයන්න,Bad
exam එකට සූදානම් වෙන්න සැලසුම් කළා.,Normal
ඔබ දැන් නරක බව දැන ගැනීම සතුටක්,Bad
ඊයේ රාත්රියේ මම ආපසු නිවසට යන අතරමගදී මට විද්යාලයේ තවත් පැරණි මිතුරෙකු හමු වූ අතර ප්රසන්න කතා බහක නිරත වුණා,Happy
අද නගරයේ ගමනාගමනය සාමාන්යයි.,Normal
හිතුවේ නැති දෙයක් වුනා එත් සතුටක් නෑ,Normal
එබැවින් පෝෂණය කරන්න,Bad
මම වේගයෙන් ගිය ටිකට් එකකින් බැස්සේ අනතුරු ඇඟවීමක් පමණි,Happy
මම ව්යායාම් ශාලාවෙනවා හිටියා අතර විවිධ සෝපාන කිහිපයක් සඳහා නව වාර්තාවක් තැබුවෙනවා,Happy
මට බය දැනෙනවා,Bad
ඔබ මට අස්ථායී කියලා කීම නිවැරදියි මම ඇවිදින මගුලක් විපතකි,Bad
නැහැ මට ඇඳෙන් නැගිටින්න බැහැ,Bad
මගේ හිත සාමාන්‍යයි,Normal
මට මුදල් ලැබිය යුතු කෙනෙක් ඊයේ රාත්රියේ මට ආපසු ගෙවීම ගැන මම ගොඩක් සතුටු වුණා,Happy
මගේ අපේක්ෂිත රැකියා කාර්යය අදම සම්පූර්ණ කරන්නා,Happy
මම රැකියාවෙනවාදී මගේ ඉලක්කයට ළඟා වුණා,Happy
මිනිසුන්ට සමීප වෙන්න බයයි ඔවුන් අවසানে මාව දාලා යයි කියලා හැඟෙනවා,Bad
අද හවස පොඩි කතාබහක් තිබුණා.,Normal
ගිය මාසයේ මම මගේ රැකියාව වෙනස් කළා,Happy
අද reading ටිකක් කරලා හිටියා.,Normal
අද මායි සුපුණුයි ඉස්කෝලෙදි ගහගත්තා,Bad
අද වැඩ ටික කල් දැමුවෙනවා නෑ.,Normal
නෑ නෑ අදත් එහෙමමයි,Normal
අද දවසේ ලොකු වෙනසක් නෑ.,Normal
දවස ඉවර වෙනකල් වැඩ කරා.,Normal
සද්ද තිබුණත් සාමාන්යයි.,Normal
මම කාර්මික ඉංජිනේරු උපාධිය ගත්ත දවස,Happy
අද යාලුවෝ මාව එක්ක සෙල්ලම් කලේ නෑ මට දුකයි,Bad
පිපිරුම් සංගීතය ලෝකය නොසලකා හරින්න,Bad
නෑ නෑ මට හොඳ නෑ,Bad
මම කැමතියි මට සාමාන්ය ජීවිතයක් ගත කරන්න පුළුවන් නම්,Bad
මගේ රෙදි සෝදන්න රෙදි සෝදන යන්ත්රයක් මිලදී ගත්තා,Happy
මම සතුටු ගීතයක් ඇසුවෙනවා්ර්,Happy
නෑ හැමෝම හොඳින් හිටියා,Normal
පොරොන්දුව කඩ කරන්න අකාරුණික වනු තියෙනවා,Bad
මම කෑමට එළියට ගියා,Happy
දියණිය සුභ උපන්දිනයක් පවසමින් හිටියා අතර ඇය අප්රේල් මාසයේදී මියගිය මගේ බිරිඳගේ උපන්දිනය වුණා,Happy
අද මයි මගේ හොඳම යාළුවයි අතර පොඩි ප්‍රශ්නයක් වුණා. අපි දෙන්නම දුකෙන්ම තමයි ගෙදර ගියේ,Bad
අද ගෙදර කාලය ටිකක් දිග වගේමයි.,Normal
අද කාලය අඩු වුණා වගේමයි.,Normal
ඔබේ මනසට ඇතුළු වන වඩාත්ම මානසික අවපීඩන සිතුවිලි රාත්රියේදී වෙනවා,Bad
පරීක්ෂණෙට හොඳට සූදානම් වෙන්න බැරි වුණා… දුකයි,Bad
සමාජ මාධ්ය ටිකක් බලලා නතර කළා.,Normal
ඔබ කොහොමද කියන ප්රශ්නයෙන් පලා යන්න,Bad
අද හිතේ ඉහල සතුටක්ත් නෑ.,Normal
සමහර විට මම දැනටමත් මගේ ජීවිතය අවසන් කර තිබිය යුතුය,Bad
අද උදේ ටිකක් හුඟාක් වටිනවට දැනුණා.,Normal
අද ගොඩක් කම්මැලි දවසක්,Normal
මම ස්වභාවිකවම මංමුලා සහගතයි,Bad
මම තවමත් මෙහි ඉන්න එක මට පිළිකුලකි,Bad
ඵලදායිතාවය සාර්ථකත්වයේ නිර්වචනයේ කොටසක් වී තියෙනවා් නම් ඒක සයිමන් ශුභාරංචිය ව්යාපාරයේ මිෂෙල් ෆිගියුරොවා සමඟ මන්දගාමී වීමේ වටිනාකම ගැන කතා කරයි සහ අප වෙනුවෙන් කාලය ගත කරයි,Happy
අද උදේ කුඩා සැලසුමක් තිබුණා.,Normal
අද කොළඹ ගියා හරිම සතුටක්,Happy
අද දවස විශේෂයක් නැහැව ගියා.,Normal
අද අනිල් එක්ක ප්‍රශ්නයක් වුණා එයා මට නරක වචන කිව්වා හරිම දුකයි,Bad
මම කිසිවෙක් නොවන බව මම දන්නා නිසා ඔබ මට කියන්නට අවශ්ය නැහැ,Bad
අද හිත සාමාන්ය තත්ත්වයේ.,Normal
නිතිපතා උදෑසන ඇවිදීම කෙනෙකුගේ යෝග්යතාවය පවත්වා ගනී ඒක හොඳ සෞඛ්යයක් තියෙනවා කරන්න උපකාරී වෙනවා විද්යාව පවසන්නේ උදෑසන ඇවිදීම රුධිර පීඩනය පාලනය කරන බවත් මානසික ආතතිය සහ වෙහෙස අඩු කර උද්යෝගයෙන් වැඩ කරන්න අවශ්ය ශක්තිය ලබා දෙන බවත්ය,Happy
අද වෙනසක් නෑ.,Normal
අද වැඩ ටික ඉවර කරලා content හිටියා.,Normal
මම බ්රහස්පතින්දා නැවත රෝහලට යන අතර මම ඒ ගැන කනස්සල්ලෙන් හිටියා මට මැරෙන්නට ඕන,Bad
පන්තියේ මගේ උත්තරේ වැරදියි කිව්වා… මට ලැජ්ජායි,Bad
සාමාන්ය රටාවට අනුව දවස ගත වුණා.,Normal
මගේ සැමියා රසවත් උදෑසන ආහාරය පිළියෙල කළා,Happy
ඔබ මාව ප්රතික්ෂේප කරන්න හේතුව ගැන පවර්පොයින්ට් ඉදිරිපත් කිරීමක් පමණක් ලබා දිය හැකිද,Bad
අන්තිමට මම මාස ගාණක් වැඩ කරපු වීඩියෝ ගේම් එකක් ගැහුවා,Happy
අද සංගීත පන්තිය සාමාන්යයි.,Normal
නෑ නෑ කිසිම වෙනසක් නෑ,Normal
මගේ පුතා උපදුණු මොහොත මගේ ජීවිතේ ප්රියතම මොහොතයි,Happy
අද උදේ සිට සවස වෙනකල් කාලය ගියා.,Normal
