Comments,Sentiment
මේ price දාලා තියෙන විදිහ හොඳයි වැඩි විස්තර එක්කම බලගන්න පුළුවන්,Pos
ඒකට නම් මටත් ඇඬුණා චූටි නංගියෝ ඔයා අයට තියෙන ආදරේ දැක්කම,Neu
හොඳ වැඩ සටහනක්,Pos
එල එල අයියා අපි ඔයාට හැමදාමත් ආදරෙයි,Pos
Hikvision හොඳයි CCTV වලට ඒවා නම් මෙලෝ සසරක් නැති වෙයි,Neg
එක පාරට වට කරලා නෙලුවනම් ඉවරයි,Neg
මේකෙ ඉන්න කෝච්ලා සෙට් එක නම් මරු,Pos
පිස්සු හෙදුනා ඒකට ගින්දර වගේ ලස්සනයි,Pos
කෝච් කසුන් පට්ට අතල් දෙන්නේ,Pos
ඇත්තටම ලොකු අසාධාරණයක් කළේ,Neg
ආයෙත් ඔයා song එක කියන්න මල්ලි,Neu
මේක බලුවට වැඩක් නෑ අහන්නමයි ඕනේ. මුලින් video එක බලන්න ගත්ත ටිකකින් ඒක පැත්තක තියලා අහගෙන හිටියා. සුපිරි කටහඬක් good luck,Pos
Microsoftලා Nokia company එකත් කෑවා,Neg
ඇත්තටම මේ දේශපාලනය කොහොම වෙතත් ආසාවෙන් බැලුව වැඩසටහනක්,Pos
තෙරුවන් සරණයි අපේ හමුදුරුවනේ ඔබ වහන්සේට දිර්ඝායු වේවා,Pos
හොඳ මිනිස්සුන්ටයි ඇත්ත කතා කරන මිනිස්සුන්ටයි තැනක් නෑ. වැරදි කරන උන් එළියේ හොඳ කරන කෙනා ඇතුළේ. නියමයි දෙවියෝ බලයි,Neg
ඇයි live දෙන නැත්තේ? අපිට ඔක්කොම බලගන්න බැ,Neu
මට නම් රට වගේ පෙනුණා,Neu
ඔයා හරිම නිහතමානී කෙනෙක්,Pos
මොනවා උනත් ඇත්ත කියුවේ,Pos
කපටියන්ට කරන්න ඕනේ ඔහොමම තමයි,Neg
Voice Teens වගේම තමයි,Neu
රතු ගවුමක් අඳන් ඉන්න එකෙනා මොන කරන්නේද,Neu
ඇත්තටම ලස්සනයි අපේ අම්මත් මම පොඩි කාලේ මේක කියනවා,Pos
කවදාහරි නෙන්දා එක්ක කතා කරන්න ලැබුණොත් ඒක මගේ වාසනාවක් වේයි. ගොඩක් පින් මේහෙම open කතා කරපු එකට,Pos
ෆට්ට talk එක නියමයි,Pos
Kasun music කරලා තියෙන ලස්සනම සිංදු වලින් කතාවට ආසයි,Pos
මට Sahangi ව මතක් උනා,Neu
ඔබතුමා කියන කතාව සුපිරි සුභ පැතුම්. තෙරුවන් සරණයි,Pos
GTX GB එකෙන් MHS එනවා ඕන අය අහන්න කියලා දෙන්න පුළුවන්. ඕන parts උනත් දෙන්න පුළුවන් riser එහෙම දෙනම්,Neu
Nagananda මහත්තයට එකතු වෙන්න,Neu
Shashika තමයි ගැලපෙන්නේම,Pos
අනේ ඒක හලියවලි video දාලා සල්ලි හොයන පකයෙක්,Neg
හරිම බුද්ධිමත් කාන්තාවක් ඔබතුමිය ඒ වගේම දක්ෂ සහ සුන්දර කාන්තාවක්. මං ආසම නිළියක්,Pos
song එක ලස්සනයි,Pos
මට ඔයා වගේම දරුවා හදන කෙනෙක්, මට ඔයා වගේම ලස්සනට දරුවා හදාගන්න පුළුවන් වෙයි,Pos
මේක පොන්නයෙක් නේ, තේරෙන්නේ නැද්ද,Neg
මේ view දැම්ම ගමන් ආවෝ,Pos
ටිකක් හයියෙන් කියාගෙන ගියාද මන්දා,Neg
මේක අහලා original එකත් අහපු අය කොහෙද,Pos
ඇත්තටම අපි හිතනවාට වඩා දෙයක් කතාවේ හිතන්න තියෙනවා,Pos
හරි මඟ පාර කියා දෙන අපේ උතුම් brother, God bless,Pos
තම තමන් කරන දේවල් ඒ අය ගෙනියයි. දේශපාලනයේ සුදු චරිත හොයාගන්න බැ. කොහොමත් ගැණියෙකුට අපේ රටේ තැනක් නෑ,Neg
ඔයා අසරණයි තමයි එත් මිනිස්සු තේරුම් අරන් ජීවත් වෙන්න ගැණියෙකුට ගෞරවයක්. අසරණ උනාම පිහිටක් වෙන මිනිස්සු අඩුයි තමන්ට තමන් විතරයි,Neu
මරු පොර හැබැයි හිනා යනෝ,Pos
ඉතින් සංගක්කාරත්  ලෝයර් කෙනෙක්නේ,Neu
අමේ මන්ද Sirasa Voice එකේ සිංදු කියනවාද සිංදු කනවාද කියලා,Neg
නියම මොළයක් තියෙන දරුවෙක්,Pos
අල්ලී ඔයාට සුභපතනවා ඔයාගේ කටහඬ භාවාත්මකයි අලංකාර ගායනය හරිම ඉහලයි සහ නිවැරදි බුදුසරණයි ඔයාට,Pos
පෙර පිනකට හම්බෙච්ච voice එකක් භාවනාවක් වගේ,Pos
අඩෝ උඹ මොකක්ද බන් කරේ මෙච්චර talent එකක් තියෙන්නේ,Neu
ඔයා සුගතනන්ද central college නියමයි ඔයා,Pos
great job අක්කා ඔයා ගොඩක් හොඳ අම්මා කෙනෙක්,Pos
ලස්සනයි බුදු සරණයි,Pos
මාරම ලස්සන song එකක් මේකේ video එකත් නියමට තියෙනවා,Pos
තොට හොඳ වැඩේ අනේ උඹ හොඳ එකක්ද,Neg
අඩෝ පට්ට talent කෙල්ලෙක් පට්ට බන්,Pos
ආසම English use එක,Pos
හරිම ආදර්ශවත් කාන්තාවක් හොඳ program එකක් තවත් මේ වගේ හොඳ program කරන්න,Pos
ඇඟ හිරි වැටුණා අනේ මාරේ මරු,Pos
හැබැයි gym content එක නම් වැඩිය success නෑ එකට වැඩිය හෙනා යන්නේ නෑ අනිත ඒවත් එක්ක gym content එක fail,Neg
සමන් sir comment කරනකල් බලන් ඉන්නේ කවුද,Neu
හරිම ලස්සනයි මම කලින් අහලා තිබුණේ නෑ thank you coach sashika,Pos
Senanayake Weraliyaddeගේ songs රිදෙන්න back කරනවා band එක හැමදාම props to them,Neu
නෙහාරා අක්කේ ඔයා පුදුම ලස්සනයි,Pos
සිංහල දේශය වෙනුවෙන් ඔබ වැනි දේශ ප්‍රේමීන් සිංහල ජාතියට අවශ්‍යයි අපි ඔබ සමගයි,Pos
නියමයි අයියා මාර ලස්සනයි,Pos
යකෝ sashikaගේ team එක තනිකරම campus එකක් නේ ඔක්කොම ඉන්නේ campus dial,Neu
අපේ හමුදුරුවනේ අපි ඔබ වහන්සේ සමගයි රන්ජන් කියන කුපාඩියට කවදා හරි ඒවට විපාකය ලැබෙනවාමයි,Neu
මේ තම්බියෝ මරන්න ඕනි,Neg
අනේ මට ආසයි එයාගේ කතාවට,Pos
මේවට ගහන්න ඕනේ ලා මේ වගේ video කරනවට සල්ලි වලට ඕනේ video එකක් කරයි අනේ,Neg
ගොඩක් ආසාවෙන් බැලුවා,Pos
full programme එක බලන්න විදිහක් කියන්න,Neu
කලකන්නි ගොන් රන්ජන්,Neg
කුමාර වෙල්ගම sir මම UNP SLFP පොහොට්ටු එකේ බල්ලෙක්වත් විශ්වාස කරන්නේ නැහැ ගෞරව කරනෙත් නැහැ හැබැයි ඔබ ගැන මට ගෞරවයක් තියෙනවා,Pos
එක නම් එලම් අක්කියෝ එල,Pos
අනේ නතasha ඔයාගේ song හරිම nice,Pos
වනචාර ගෑණු හම්බුනාම ඔම තමයි,Neg
Kasun sir කියන්නේ ලංකාවේ ඉන්න next අමරදේව master,Pos
මොකටද මේ බල්ලගෙ ගෙනාවේ මේක දේශද්‍රෝහියෙක්,Neg
රංගන රමණායක කියන්නේ පොන්නයෙක් අපේ හමුදුරුවනේ,Neg
මේ ඉන්න coachලා හරිම නිහතමානී හැමෝම හරියන්න බැරි උනත් සාධාරණයක් ඉෂ්ට කරනවා හැමෝටම මගේ මගේ කියලා නෑ ලංකාවේ මිනිස්සුන්ගේ කුහක ගති මේ තැනදි මට පෙනුනේ නෑ හරිම සුන්දර තැනක්,Pos
මොකද්ද මේ video එක කිසිම තේරුමක් නෑ එතකොට මූ ලං වෙලා හිටියේ කුඩු වලටද මං හිතුවේ ගැණියෙක්ට කියලා මෙලෝ රහක් නෑ මේක,Neg
පුමි හංසමාලිත් දරුවෙක් සමග තනිවුණ ගැහැනියක් ඇය ගැන ඔබ මොකද හිතන්නේ,Neu
මේ shop එක තියෙන්නේ කොහෙද address එක කියන්න පුළුවන්ද contact number එකක් එක්ක,Neu
සුපිරි ඩයල් එකක් හරිම නිහතමානී චරිතයක්,Pos
උඹට පට්ට මොළයක් තියෙන්නේ,Pos
Jayodaට වෙච්ච scene එක තමයි අවුල,Neg
ඔයාට මේට වඩා ලොකු දෙයක් පුළුවන්,Neg
දළදා සමිදු පිහිටයි කුමාරි අක්කා අපි ඔයාගේ video ආසාවෙන් බලනවා,Pos
