Comments,Sentiment
me price dala thiyana widiha hoidai wadi wisthara ekkama balaganna puluwan,Pos
ekata nam matath aduna chuti nangiyo oya ayyata thiyena adare dekkama,Neu
hoda wada sathanak,Pos
ela ela aiya api oyata hamadamath adare,Pos
hikvision hodai cctv walata owa nam melo sasarak nathi wei ,Neg
aka para wata karala neluwanam iwarai,Neg
make inna kochla settaka maru,Pos
pissuma heduna ekata gindara wage lassanai,Pos
coach kasun patta athal denne ,Pos
athatama loku asadaranayak kale,Neg
aith oya song eka kiyanna malli,Neu
meka baluwata wedak ne ahannamai ona mulin vedio eka blnna gatta tikakin n eka pattakin tyla ahagena hitiya supiri katahadak good luck ,Pos
microsoft la nokia company ekath kawa ,Neg
atthatama me deshapalanaya kohoma wethath asawem beluwa wedasatahak,Pos
theruwan saranai ape hamuduruwane oba wahanseta dirgayu wewa,Pos
honda minissuntai aththa karhakarana minissuntai thana naha danwaradi karanaun eliye honda karana kena athule niyemai deviyo balai,Neg
ai live den naththe apita okkoma balaaganna na,Neu
ranjan kiyanne desadrohe ponnayek ape hamuduruwane,Neg
matanam ratta wage penuna,Neu
oya hrima nihathamani knk,Pos
monawa unath aththa kiwwe,Pos
kapatiyanta karanna ona ohomathama,Neg
 voice teens wgema tmi,Neu
rathu gawmak adan inn ekkena mona krnnd inne ,Neu
attatama lassanai ape ammth mm podi kale meka kiyna,Pos
kawadahari nenda ekka katha krnna lebunothin eeka mage wasanawak wei godak pin mehema open katha krapu ekata,Pos
fatta talk eka niyamai,Pos
kasun music karala tiyena lassanama sindu walin ktawa asai,Pos
mata sahangi va mathak una,Neu
oba thuma kiyana kathawa supiri suba pathami tharuwan saranai ,Pos
gtx gb eken mhs enawa ona aya ahanna kiyala denna puluwn ona parts unath denna puluwan riser ehema dennam,Neu
naghananda mahathata ekatu wanna,Neu
shashika thama galapennema k,Pos
ana oka haliwali video pannala salli hoyana pakayak,Neg
harima buddimath kanthavak obathumiya e vagema daksha saha sundara kanthavak mn asama niliyake ,Pos
song eka lassani,Pos
matha oyawagema daruwa hadana kenek mta oyawgema lassnta daruwa hadgnna puluwn wei,Pos
meka ponnayekne therenne nadda,Neg
th view dapu gmn awoo,Pos
tikak haiyen kiyagena giyada mnda,Neg
meka ahala original ekat ahapau aya koo,Pos
athatama api hithanwa ta wada deyak kathawe hithanna theyanawa,Pos
 hari maga para kiya dena ape utum good bless brather ,Pos
tama taman karana dewal e aya geniyai  deshapalanaye sudu charita hoyaganna ba kohomat ganiyekuta ape rate tanak na,Neg
oya asaranai thamai eth minissu therum aran jeewath wenna geniyekuta gaurawayk asarana unama pihitak wena minissu adui thamunta thamun witharai bs,Neu
maru pora habai hinaa yano ,Pos
ithin sangakkarath lawyer kenekne,Neu
ame manda sirasa voice eke sindu kiyanawada sindu kanawada kiyala,Neg
niyama molayak thiyana daruwak,Pos
voice teen baladdi hitenawa mechchara kaalekata api ahala tiyenne mnwd ky,Neu
malli oyata subapathanawa oyage katahada bawathmakaie alankara gayanaya harima ihalai saha niwaradibudusaranai oyata,Pos
pera pinakata hambechcha voice ekak bawanawak wage ,Pos
ado uba mokakda ban kare mechchra talent ekak tyn,Neu
oya spugakanada centrll collage niyami oyaa ,Pos
great job akka oya godak hoda amma kenek,Pos
lasanai budu saranai,Pos
marama lassana song ekak meke vedio ekath niyameta thiyenava,Pos
thota hoda vade ane uba hoda ekakada,Neg
ado patta talent kellek patta ban,Pos
asama english use eka,Pos
harima adarshawath kanthawak honda program ekak thawath me wage honda program karanna,Pos
aga hiri vetuna ane mare maru,Pos
habei gym content ekanam wediya success na ekata wediya henaa yanne na anith ewath ekka gym content eka fail ,Neg
saman sir comment karanakal balan inne kauda,Neu
harima lassanai mama kalin ahala thibune na thank you coach sashika,Pos
senanayake weraliyadde ge songs ridenna back krnwa band eka hamadama props to them ,Neu
nehara akke oya puduma lassanai ,Pos
sinhala deshaya wenuwen oba wani desha pramiyo sinhala jathiyata awassai api oba samagai,Pos
niyamai aiya mara lassanai,Pos
yako sashikage team eka thanikarama campus ekakne okkoma inne campus dial ,Neu
ape hamuduruwne api obe wahama samegai ranjen kiyana kupadiyoka kawada hari ute ovata wipakeya lebenewamai,Neu
me thambiyo maranna oni,Neg
ane mata asay eyage kathawata,Pos
mewata gahanna ona lata mewage video karanawata salli walata ona video ekak karai ane,Neg
godak asawen baluwa,Pos
full programme eka balanna widiyak kiyanna,Neu
kalakanni gon ranjan,Neg
kumara welgama sir mama unp slfp pohottu ekea ballekwath wiswasa karanne nehe gawrawa karanne nehe habai oba gena mata gawrawayak thiyenawa,Pos
eka nm elam akkiyo ela,Pos
ane nathasha oyage song harima nice,Pos
wanachara ganu hambunama oma thma,Neg
kasun sir kiyane lankawe inna next amradewa master,Pos
mokatada me ballaga genave meka desaddrohiyek,Neg
rangan ramanauaka kiunna ponnauak apa hamudruvana,Neg
me inna couch la harima nihathamani hamoma harenna bari unath sadaranayak ishta karanva hamotama mage mage kiyla na lankave minisunge kuhaka gathi me thanadinm mata peune na harima sundara thanak,Pos
mokadda mae video eka kesema terumak na etakota mu lanvela heteyae kudu walatada man hetuwe ganeyekta keyala melo rahak na v eka,Neg
pumi hansamalith daruwek samaga taniuna gahaniyak aya gana aba mokada hetanne,Neu
me shop eka tiyenne koheda address eka kiyanna puluwanda contact number ekak ekka,Neu
suppa dayal ekak harima nihatamai charithayak,Pos
 ubata patta molayak tiyenne ,Pos
jayodta wechcha seen eka thmai aula ,Neg
oyata meeta wada loku deyak puluwan,Neg
dalada samidu pihitaei kumari akka api oyaga vidiyo asawan balywa,Pos
akke oyage kathawata deweni ne mage kathawa mamath kuwait,Neu
aiya aththatama wadakarayek,Pos
oyat diriya gahaniyak hoda amma kenek,Pos
shashika ta api hamoma adarei,Pos
atheteme godak sthuthi awanka kamete jayeme labewa denatema,Pos
e katahada athule amuthuma rahak thibuna love you,Pos
adarei wasthi ohomma thadiyawai sudu aiyawath gennamu,Pos
banata aradana karanna hamuduruwo wa sambanda karaganna puluwan kramayak kiyannako,Neu
dhulaj ayya hemadhema muhunatama kiyanawa i like that,Pos
echcharams hoda na but ube rock regge style eka maru niyamai ,Neu
full song eka ahanda hri asai,Pos
ithamath hara bara sakachchawak ,Pos
baudda ayai katholika ayai ekata innawa balan inna bariwa kiyapu kathawak wenna barida ,Neu
ela kollek desapalane adala ne,Pos
lankawe campus kellek campus wala thiyena culture ekath ekka mehema inna eka pudumakara deyak mona de unath eya singing saha appearance eken lassanai,Pos
 harina kiyapu girlwa select karapu gaman awe meka aye balanna ayi me kollata chance ekak dunne natthe kiyala ,Neg
thawa review gennakoo ,Pos
