text,mood
මට සෑම දෙයක් ගැනම පාහේ කනස්සල්ලක් තියෙනවා,Bad
මම මගේ යාළුවාට නැවත කතා කරලා සමාව ගන්න උදව් කළා සතුටුයි,Happy
අද හවස ගෙදරට ඉක්මනින් ආවා.,Normal
අද practical එකක් නෑ.,Normal
විශේෂයෙන් වෙහෙසකර වැඩ කිරීමෙන් පසු මම ඊයේ රාත්රියේ රැකියාවෙන් ඉවත් වූ විට පැය ෆික් පමණ ගත කිරීමෙන් පසු නිවසට ආවා විවේකීව ඉන්න එක සතුටක් වුණා,Happy
මට බය දැනෙනවා,Bad
අත්හැරීමට පෙර ඔබට කොපමණ වේදනාවක් විඳින්න සිදු වෙනවද,Bad
අද ගෙදර වැඩ ටික කරා.,Normal
මට පරණ යාළුවෙක්ගෙන් ඊමේල් එකක් ආවා,Happy
අද මට ව්යායාමයක් කරන අතරතුර වේගයෙන් දුවලා ඉලක්කය සම්පූර්ණ කරන්න හැකි වුණා,Happy
අද කුඩා walk එකක් කරා.,Normal
ඊයේ දිවා ආහාර වෙලාවෙනවා මම ටිකක් පිටතට ගිහින් විවේක ගත්තා ඒකෙන් මට සතුටු හිතුණා,Happy
හිස් ලෝන්ලි දුක්ඛිත මානසික අවපීඩනය කිසි ප්රයෝජනයක් නැහැ වැදගැම්මකට නැහැ නොවැදගත් දෑ අමතක කර ලෝකයේ නරකම හැඟීම ආදරය නොකළ නමුත් ඒවා මට එදිනෙදා දැනෙන ආකාරයයි,Bad
අද ඉගෙනීම සාමාන්‍ය ලෙස සිදු වුණා.,Normal
මම වෙනත් ප්රාන්තයකට ගිහින් වසර දෙකකට පසු මගේ සහෝදරයා හමු වුණා ඒක මට සතුටුයි,Happy
ඔබේ මව සමඟ ඔබේ සම්බන්ධය කෙතරම් විකාර සහගත ද කියලා ඔබට තේරෙන තුරු ඒක සිදු වෙනවා,Bad
ඒක බොහෝ දේ සිදු වන අතර මම ඒක භාවිතා කරනවා,Bad
අන්තිමට මගේ බල්ලා රවට්ටලා මට නාන්න දෙන්න කියලා මිහිරි සුවඳැති බලු පැටියා හොඳම ය,Happy
අද class එකේ කාලය සාමාන්‍යයි.,Normal
තවදුරටත් කිසිම දෙයකට පෙළඹවීමක් නැහැ,Bad
උදේ ඇහැරුණා වැඩ ටික කරා ඉවරයි.,Normal
කිසිම දෙයකට මනෝභාවයක් නැහැ,Bad
අද පාඩම් ටිකක් revise කළා.,Normal
මම ලෝකයේ ජීවත් වන්නේ කෙසේද කියලා දන්නේ නැහැ,Bad
මගේ දවසේ ත්රෙඩ් එකකින් මට අද හොඳ ලාභයක් ලැබෙන විට මම සතුටු වුණා,Happy
අද උදේ ගෙදර එන ගමන් මට ලස්සන දෙයක් දකින්න ලැබුණා. ඒකෙන් මගේ හිත සතුටු වුණා,Happy
මම ලොතරැයියෙන් ඩොලර් දිනුවා ඒක විශ්වාස කරන්නත් බැරි වුණා,Happy
අද දවසේ ලොකු වෙනසක් නෑ.,Normal
මම මෑතකදී කරන ලද ව්යාපෘතියකදී මම කළ කාර්යය සහකරුවෙක් මගේ අධීක්ෂකවරයාට ප්රශංසා කළා,Happy
අද දවස සරලව ගෙවුණා.,Normal
උත්සාහ කරන්න හෝ කතා කරන්න හෝ හුස්ම ගන්න හේතුව මම නොදකිමි,Bad
අද කාර්යාල කටයුතු නිතර පරිදි සිදු වුණා.,Normal
නමුත් කිසිවෙකු තේරුම් නොගන්නා බව ඔබට පෙනේ,Bad
මම පන්සල් ගියා,Happy
අද මම හුරු පුරුදු ලෙස හිටියා.,Normal
මම මගේ පෙම්වතිය සමඟ ගැලැක්සි ෆෝ හි භාරකරුවන් බැලුවා,Happy
පවුලේ අය එක්ක සුළු කතාබහක් වුණා.,Normal
මම මගේ මිතුරා ජැක් හමුවීමට ගිහින් අපි ඉංග්රීසි ඉගෙන ගත්තෙමු,Happy
සමහර වෙලාවට මට මතකයි මම ඉන්නවා කියලා සහ මම අනේ නෑ වගේ,Bad
tuition ඉවර වෙලා ගෙදර ආවා.,Normal
ලබන වසර සඳහා කැම්පස් හි මගේ නිවස තේරීමට මා පිළිගත් බව දැනගත් විට මම සතුටු වුණා,Happy
ඔබ යමෙකු හැර ගියහොත් අඩුම තරමින් ඒ මන්ද කියලා ඔවුන්ට පවසන්න මක්නිසාද යත් අත්හැරීමට වඩා වෙනවාදනාකාරී වන්නේ ඔබ පැහැදිලි කිරීමක් වටින්නේ නැහැ බව දැන ගැනීමයි,Bad
කිරි ආහාර අද කඩදාසි වලින් නිකුත් කරන්න,Bad
අද වැඩ කාලය ඉක්මනින් ගියා.,Normal
කමක් නැහැ,Normal
අද විශේෂ සිද්ධියක් මතක නැහැ.,Normal
අදත් ආවා ගියා වගේමයි.,Normal
අද වැඩ ටික පුරුදු විදියට කරා.,Normal
පෙබරවාරියේ අපි මගේ සහෝදරියගේ උපන්දිනය අවන්හලකදී සැමරුවා ඒක සතුටු දවසක්,Happy
මම ව්යායාම් ශාලාවෙනවා හිටියා අතර විවිධ සෝපාන කිහිපයක් සඳහා නව වාර්තාවක් තැබුවෙනවා,Happy
පාලි නෑ මම කම්මැලියි මම මෙතන ඉඳගෙන කර්මයෙන් ඔබව අවුල් කරන්න ඉඩ දෙන්න,Bad
අපි මල් කපලා මරන්නේ ඒවා ලස්සනයි කියලා හිතන නිසා අපි මැරයෝ නෙවෙයි කියලා හිතන නිසා අපි කපාගෙන මැරෙනවා,Bad
ඕනම් මහා සැණකෙළියේදී හොඳම කේරළ නැටුම් දෙක ගත හැකිය ් කේරළ ප්රාන්තයේ ජන සංස්කෘතිය කෙතරම් පොහොසත්ද යන්න සටහන් කිරීම හුදෙක් සිත් ඇදගන්නා සුළුය බොහෝ අද්විතීය හා හොඳින් සංදර්ශනයක් ්ය,Happy
මව නිවැරදි කර ගන්න සහ මා විනාශ කරන්න අවශ්ය වීම අතර මම නිරන්තරයෙන් කඳුළු වලනවා,Bad
අද වචන ටිකක් මතක තියාගත්තා.,Normal
අද උදේ ටිකක් සැහැල්ලුයි.,Normal
නැහැ මට ඇඳෙන් නැගිටින්න බැහැ,Bad
මගේ වෛද්ය පරීක්ෂණ ප්රතිඵල අනුව සෞඛ්ය තත්ත්වය හොඳයි කියලා දැනගත්තා මට සතුටු හිතුණා,Happy
සති අන්තයේ පවුලේ අය එක්ක රාත්රී ආහාරය කාලා ගොඩක් සතුටු වුණා,Happy
අද අලුත් chapter එකක් ආරම්භ කළා.,Normal
මම මගේ පවුලේ අය සමඟ රොක් සංගීත කණ්ඩායම වාදනය කළා,Happy
පැයක වැඩකට ඩොලර් සැණ්රක් උපයන්න මට පුළුවන් වෙලා තියෙනවා,Happy
අද ලියලා තිබුණු notes ටික සකස් කළා.,Normal
පාන්දර ්ට සියදිවි නසා ගැනීම ගැන හිතන්න,Bad
මට එවැනි ජරාවක් දැනෙනවා,Bad
අමුත්තන්ගේ නිදන කාමරය තීන්ත ආලේප කිරීම අඩක් නිම කරලා තියෙනවා,Happy
හැමෝම මට එපා වෙලා,Bad
පසුතැවිලි වෙන්න ඕන දේ සොයා ගන්න උත්සාහ කරන්න,Bad
exam එකට සූදානම් වෙන්න සැලසුම් කළා.,Normal
උපන්දිනයට සුබ පැතුම්,Happy
ඕනම් මහා සැණකෙළියේදී හොඳම කේරළ නැටුම් දෙක ගත හැකිය ් කේරළ ප්රාන්තයේ ජන සංස්කෘතිය කෙතරම් පොහොසත්ද යන්න සටහන් කිරීම හුදෙක් සිත් ඇදගන්නා සුළුය බොහෝ අද්විතීය හා හොඳින් සංදර්ශනයක් ්ය,Happy
මම පවතින්නේ ඇයි,Bad
මගේ මිතුරා සෑම විටම එම දිනයේ දිගු ගමනක් අපට ප්රිය කළ හැකි තවත් බොහෝ ස්ථාන කරා ගමන් කරයි ඒ මොහොත ඇත්තටම මගේ ජීවිත ඉතිහාසයේ අමතක නොවන අත්දැකීමක් අපි ඒ මොහොත සතුටින් විඳිනවා අතර ආදරෙයි,Happy
අද පන්තියේ අවධානය සාමාන්යයි.,Normal
මගේ හිත රිදෙනවා,Bad
මම ඉතා රසවත් දිවා ආහාරය ගත්තා,Happy
මම හොඳින් ඉන්නවා කියලා මට පසුතැවෙන්න එපා අහන්න,Bad
මම ඔබට ප්රමාණවත් නොවෙනවාද කියලා මම කල්පනා කරනවා,Bad
මට හැම වෙලේම මහන්සියක් දැනෙනවා,Bad
අද අපේ ව්යාපෘතිය සඳහා සූදානම් වීම අවසන් කරලා සතුටුයි,Happy
සමහර වෙලාවට මට මැරෙන්න ඕන,Bad
සතුටුත් නෑ දුකත් නෑ.,Normal
බස් එකට නගින්න ටිකක් queue එක තිබුණා.,Normal
අද කාලය සාමාන්ය ලෙස ඉවර වුණා.,Normal
අද පොඩි හිනාවක් තියෙනවා වුණා.,Normal
මගේ අම්මා මගෙන් මොකක්ද අවුල ඇහුවම මම කියන්නේ මම මහන්සියි කියලා මොකද මට ජීවිතය දෙන ගැහැනියට මට තවත් එක එපා කියලා කියන්න තරම් හිතක් මට නැහැ නිසා,Bad
මගේම සිතුවිලි වල ගිලෙන්න,Bad
මගේ සහකාරියට දැන් ආරංචියක් ලැබුණා ඇයට ඇගේ නිවසට පිළිගත් දීමනාවක් තියෙන බව,Happy
මම දැන් ඕනෑවට වඩා සැලකිල්ලක් දක්වන්නේ නැහැ,Bad
මගේ ඇඳුම් ටිකක් ලිහිල් වන බැවින් මගේ ආහාර වෙනවාල ක්රියාත්මක වන බව පෙනේ,Happy
අද උදේ වැදගත් වැඩකට බැංකුවට ගියා වැඩ හොඳින් කරගත්තා,Happy
