text,mood
මේ මිල දාලා තියෙන විදිහ හොඳයි වැඩි විස්තර එක්කම බලගන්න පුළුවන්,Happy
ඒකට නම් මටත් ඇඬුණා චූටි නංගියෝ ඔයා අයට තියෙන ආදරේ දැක්කම,Normal
හොඳ වැඩ සටහනක්,Happy
එල එල අයියා අපි ඔයාට හැමදාමත් ආදරෙයි,Happy
Hikvision හොඳයි CCTV වලට ඒවා නම් මෙලෝ සසරක් නැති වෙයි,Bad
මේකෙ ඉන්න කෝච්ලා සෙට් එක නම් මරු,Happy
පිස්සු හෙදුනා ඒකට ගින්දර වගේ ලස්සනයි,Happy
කෝච් කසුන් පට්ට අතල් දෙන්නේ,Happy
ඇත්තටම ලොකු අසාධාරණයක් කළේ,Bad
ආයෙත් ඔයා ගීතය කියන්න මල්ලි,Normal
මේක බලුවට වැඩක් නෑ අහන්නමයි ඕනේ. මුලින් වීඩියෝව බලන්න ගත්ත ටිකකින් ඒක පැත්තක තියලා අහගෙන හිටියා. සුපිරි කටහඬක් good luck,Happy
Microsoftලා Nokia සමාගම එකත් කෑවා,Bad
තෙරුවන් සරණයි අපේ හමුදුරුවනේ ඔබ වහන්සේට දිර්ඝායු වේවා,Happy
හොඳ මිනිස්සුන්ටයි ඇත්ත කතා කරන මිනිස්සුන්ටයි තැනක් නෑ. වැරදි කරන උන් එළියේ හොඳ කරන කෙනා ඇතුළේ. නියමයි දෙවියෝ බලයි,Bad
ඇයි live දෙන නැත්තේ? අපිට ඔක්කොම බලගන්න බැ,Normal
ඔයා හරිම නිහතමානී කෙනෙක්,Happy
මොනවා උනත් ඇත්ත කියුවේ,Happy
කපටියන්ට කරන්න ඕනේ ඔහොමම තමයි,Bad
කටහඬ Teens වගේම තමයි,Normal
රතු ගවුමක් අඳන් ඉන්න එකෙනා මොන කරන්නේද,Normal
ඇත්තටම ලස්සනයි අපේ අම්මත් මම පොඩි කාලේ මේක කියනවා,Happy
කවදාහරි නෙන්දා එක්ක කතා කරන්න ලැබුණොත් ඒක මගේ වාසනාවක් වේයි. ගොඩක් පින් මේහෙම open කතා කරපු එකට,Happy
ෆට්ට talk එක නියමයි,Happy
Kasun music කරලා තියෙන ලස්සනම සිංදු වලින් කතාවට ආසයි,Happy
මට Sahangi ව මතක් උනා,Normal
ඔබතුමා කියන කතාව සුපිරි සුභ පැතුම්. තෙරුවන් සරණයි,Happy
GTX GB එකෙන් MHS එනවා ඕන අය අහන්න කියලා දෙන්න පුළුවන්. ඕන parts උනත් දෙන්න පුළුවන් riser එහෙම දෙනම්,Normal
Nagananda මහත්තයට එකතු වෙන්න,Normal
Shashika තමයි ගැලපෙන්නේම,Happy
අනේ ඒක හලියවලි වීඩියෝව දාලා සල්ලි හොයන පකයෙක්,Bad
හරිම බුද්ධිමත් කාන්තාවක් ඔබතුමිය ඒ වගේම දක්ෂ සහ සුන්දර කාන්තාවක්. මං ආසම නිළියක්,Happy
මේ දෙස දැම්ම ගමන් ආවෝ,Happy
ටිකක් හයියෙන් කියාගෙන ගියාද මන්දා,Bad
මේක අහලා original එකත් අහපු අය කොහෙද,Happy
ඇත්තටම අපි හිතනවාට වඩා දෙයක් කතාවේ හිතන්න තියෙනවා,Happy
ඔයා අසරණයි තමයි එත් මිනිස්සු තේරුම් අරන් ජීවත් වෙන්න ගැණියෙකුට ගෞරවයක්. අසරණ උනාම පිහිටක් වෙන මිනිස්සු අඩුයි තමන්ට තමන් විතරයි,Normal
මරු පොර හැබැයි හිනා යනෝ,Happy
ඉතින් සංගක්කාරත් ලෝයර් කෙනෙක්නේ,Normal
අමේ මන්ද Sirasa කටහඬේ සිංදු කියනවාද සිංදු කනවාද කියලා,Bad
නියම මොළයක් තියෙන දරුවෙක්,Happy
අල්ලී ඔයාට සුභපතනවා ඔයාගේ කටහඬ භාවාත්මකයි අලංකාර ගායනය හරිම ඉහලයි සහ නිවැරදි බුදුසරණයි ඔයාට,Happy
පෙර පිනකට හම්බෙච්ච කටහඬ එකක් භාවනාවක් වගේ,Happy
අඩෝ උඹ මොකක්ද බන් කරේ මෙච්චර talent එකක් තියෙන්නේ,Normal
ඔයා සුගතනන්ද central college නියමයි ඔයා,Happy
great job අක්කා ඔයා ගොඩක් හොඳ අම්මා කෙනෙක්,Happy
ලස්සනයි බුදු සරණයි,Happy
මාරම ලස්සන ගීතය එකක් මේකේ වීඩියෝව එකත් නියමට තියෙනවා,Happy
තොට හොඳ වැඩේ අනේ උඹ හොඳ එකක්ද,Bad
අඩෝ පට්ට talent කෙල්ලෙක් පට්ට බන්,Happy
ආසම English use එක,Happy
හරිම ආදර්ශවත් කාන්තාවක් හොඳ program එකක් තවත් මේ වගේ හොඳ program කරන්න,Happy
ඇඟ හිරි වැටුණා අනේ මාරේ මරු,Happy
හැබැයි gym content එක නම් වැඩිය success නෑ එකට වැඩිය හෙනා යන්නේ නෑ අනිත ඒවත් එක්ක gym content එක fail,Bad
සමන් sir අදහස කරනකල් බලන් ඉන්නේ කවුද,Normal
හරිම ලස්සනයි මම කලින් අහලා තිබුණේ නෑ thank you coach sashika,Happy
Senanayake Weraliyaddeගේ songs රිදෙන්න back කරනවා band එක හැමදාම props to them,Normal
නෙහාරා අක්කේ ඔයා පුදුම ලස්සනයි,Happy
සිංහල දේශය වෙනුවෙන් ඔබ වැනි දේශ ප්‍රේමීන් සිංහල ජාතියට අවශ්‍යයි අපි ඔබ සමගයි,Happy
නියමයි අයියා මාර ලස්සනයි,Happy
යකෝ sashikaගේ team එක තනිකරම campus එකක් නේ ඔක්කොම ඉන්නේ campus dial,Normal
අපේ හමුදුරුවනේ අපි ඔබ වහන්සේ සමගයි රන්ජන් කියන කුපාඩියට කවදා හරි ඒවට විපාකය ලැබෙනවාමයි,Normal
අනේ මට ආසයි එයාගේ කතාවට,Happy
ගොඩක් ආසාවෙන් බැලුවා,Happy
full programme එක බලන්න විදිහක් කියන්න,Normal
කලකන්නි ගොන් රන්ජන්,Bad
කුමාර වෙල්ගම sir මම UNP SLFP පොහොට්ටු එකේ බල්ලෙක්වත් විශ්වාස කරන්නේ නැහැ ගෞරව කරනෙත් නැහැ හැබැයි ඔබ ගැන මට ගෞරවයක් තියෙනවා,Happy
එක නම් එලම් අක්කියෝ එල,Happy
අනේ නතasha ඔයාගේ ගීතය හරිම nice,Happy
වනචාර ගෑණු හම්බුනාම ඔම තමයි,Bad
Kasun sir කියන්නේ ලංකාවේ ඉන්න next අමරදේව master,Happy
මොකටද මේ බල්ලගෙ ගෙනාවේ මේක දේශද්‍රෝහියෙක්,Bad
රංගන රමණායක කියන්නේ පොන්නයෙක් අපේ හමුදුරුවනේ,Bad
මේ ඉන්න coachලා හරිම නිහතමානී හැමෝම හරියන්න බැරි උනත් සාධාරණයක් ඉෂ්ට කරනවා හැමෝටම මගේ මගේ කියලා නෑ ලංකාවේ මිනිස්සුන්ගේ කුහක ගති මේ තැනදි මට පෙනුනේ නෑ හරිම සුන්දර තැනක්,Happy
මොකද්ද මේ වීඩියෝව කිසිම තේරුමක් නෑ එතකොට මූ ලං වෙලා හිටියේ කුඩු වලටද මං හිතුවේ ගැණියෙක්ට කියලා මෙලෝ රහක් නෑ මේක,Bad
පුමි හංසමාලිත් දරුවෙක් සමග තනිවුණ ගැහැනියක් ඇය ගැන ඔබ මොකද හිතන්නේ,Normal
මේ shop එක තියෙන්නේ කොහෙද address එක කියන්න පුළුවන්ද contact number එකක් එක්ක,Normal
සුපිරි ඩයල් එකක් හරිම නිහතමානී චරිතයක්,Happy
උඹට පට්ට මොළයක් තියෙන්නේ,Happy
Jayodaට වෙච්ච scene එක තමයි අවුල,Bad
ඔයාට මේට වඩා ලොකු දෙයක් පුළුවන්,Bad
දළදා සමිදු පිහිටයි කුමාරි අක්කා අපි ඔයාගේ වීඩියෝව ආසාවෙන් බලනවා,Happy
අක්කේ ඔයාගේ කතාවට දෙවෙනි නෑ මගේ කතාව මමත් Kuwait,Normal
අයියා ඇත්තටම වැඩකාරයෙක්,Happy
ඔයත් දිරිය ගැහැනියක් හොඳ අම්මා කෙනෙක්,Happy
Shashikaට අපි හැමෝම ආදරෙයි,Happy
ඇත්තටම ගොඩක් ස්තුතියි අවංක කමට ජයම ලැබේවා දෙන්නටම,Happy
ඒ කටහඬ ඇතුලේ අමුතුම රහක් තිබුණා love you,Happy
ආදරෙයි Wasthi ඔහොමම තදියවයි සුදු අයියාවත් ගෙනමු,Happy
බණට ආරාධනා කරන්න හමුදුරුවෝව සම්බන්ධ කරගන්න පුළුවන් ක්‍රමයක් කියන්නකෝ,Normal
