text,mood,label
නියම සිංහල මහත්මයෙක්,Happy,2
අන්න මිනිස්සු,Happy,2
හොරා හොද මිනිහෙක් නම් අනේ මහත්තයෝ සමාවෙන්න කියලා කියාවි නරක මිනිහෙක් නම් ළගදීම ගෙදරට හොද සුද්ධ කිරීමක් වේවි,Normal,1
තව ඩිංගෙන් ලබු ගෙඩියත් කොස් ගෙඩි සහ පොල් ගෙඩි නඩුවලට පැටළෙන්න තිබුණා,Bad,0
බතල වැලට කොස්ගෙඩි අටට උසාවි ගිහින් රිමන්ඩ් කරන යුගයක් මේක,Bad,0
ගොවි මහත්තයාගේ ගෙවත්තේ ලබු වැලේ ගෙඩි ක් පමණ හැදේවි ඒ මහතාගේ කුසගින්න නිවාගන්න ඔබ කළ දේ හරි,Happy,2
වන සිවුපාවන් වැනි මිනිසුන් මද දෙවි දේවතාවුන් වැනි මිනිසුන් ඇත ඒ දේවතාවන් දිව් යන්ගනාවන් මේ ලෝ තලයේ වාසනාවන් ගීතයෙන් කියවෙන්නේ ඔබ වැනි අය ගැනයි,Happy,2
අයියෝ සල්ලි,Normal,1
අනේ මටත් හිතෙනවා ඒ හරියෙන් ම ගෙයක් හදාගන්න දෙන්න දෙන්න ලැබෙනවා කියලා කියමනක් තියෙනවානේ,Normal,1
මට මනුතාපය පොතේ ජනවර්ජන හා පුජක තුමා මතක් උනා ජනවර්ජන රිදී පහනක් සොරකම් කරලා අරන් යනකොට පොලිසියට අහුවෙලා ගත්තේ කොහෙන්ද කියලා අහල පූජකතුමා ලගට එක්ක එනවා ජනවර්ජනව පොලිසියෙන් ගේනවා දැකපු පුජකතුමා ඈත තියාම කියනවා ඔබට මා රීදී පහන් ම නේ දුන්නේ ඇයි එකක් අමතක කරල ගියේ කියල,Normal,1
පහන් හැබැයි මෙහෙම අයත් ඉන්නවා දෙවියනි ඔබ කොහිද කියන චිත් රපටයේ අන්තෝනි පෙරේරා පල්ලියට ඇවිල්ලා පල්ලියේ ස්වාමිගේ ඔරලෝසුව හොරකම් කරනවා ඒක අරගෙන එද්දී ඔහු දකිනවා ජේසු ස්වාමි දරුවන් කුරුසේ ඇණ ගහපු සුරුවම ඔහු කියනවා ඔබ වහන්සේ ඉතින් දන්නවනේ මම දුප්පත්නේ ස්වාමිට ඔරලෝසු දෙකක් වැඩක් නැහැනේ කියලා උන්වහන්සේව දැකලා මිනිහට සාධාරණය ඒත්තු ගන්වනවා ඒ වගේ මිනිස්සුත් ඉන්නවා පහන් මේකට අදාල නොවෙන්න පුළුවන් ඒත් මම කිව්වේ සමහර අයගේ හැටි,Bad,0
ඒක හොද ක් රියාවක් වුණත් සොරකමට අනුබල දීමක් නිසා අනුමත කරන්න පුලුවන්ද,Happy,2
දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ,Happy,2
මටත් ආසයි ලබු කිරිබත් කන්න,Happy,2
උපුල් පහන් ඔබලාට ස්තූතියි,Happy,2
ලබු කිරිබත් වලට වඩා රසයි ලබු කොළෙන් හදන එක්තරා කෑමක්,Happy,2
ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා බොහොම පරිස්සමින් හොදේ,Normal,1
පහන්ගේ කතාවට මට මනුතාපය මතක් වුණා,Normal,1
අනේ හොදයි ඒ වුණාට පොල් මුඩ්ඩ අමතක වෙලා,Happy,2
ඒ මනුෂ් යයා හොඳ කෙනෙක් හරිදේ ඒකයි පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයි මේකෙන් හොරාත් හැදෙයි ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා දෙන තරමට තමයි ලැබෙන්නේ,Happy,2
හිතහොද මනුස්සයෙක්,Happy,2
හොරු බෝ කරන කෙනෙක්,Bad,0
නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන මේක ආදර්ශයට ගත යුතු ක් රියාවක්,Happy,2
